iter	RMSE
0	1.622846112
1	1.595559676
2	1.570108783
3	1.548162508
4	1.526319376
5	1.508078577
6	1.489399662
7	1.47181262
8	1.456582434
9	1.442477982
10	1.430173134
11	1.418659492
12	1.406861246
13	1.397275138
14	1.388183526
15	1.379199384
16	1.370114313
17	1.362143928
18	1.354611521
19	1.347380013
20	1.340271743
21	1.334380222
22	1.329014251
23	1.323812391
24	1.318865691
25	1.314005124
26	1.309193981
27	1.304152521
28	1.29998614
29	1.296162256
30	1.292811482
31	1.289776612
32	1.28612094
33	1.282863946
34	1.280145034
35	1.277908132
36	1.274808423
37	1.272436679
38	1.270236912
39	1.267799829
40	1.265577985
41	1.263960233
42	1.262234287
43	1.259841997
44	1.257574276
45	1.255844555
46	1.253495093
47	1.252145728
48	1.250816218
49	1.249248743
50	1.247667293
51	1.246416973
52	1.244487807
53	1.243135162
54	1.241672955
55	1.239277985
56	1.237959497
57	1.237095533
58	1.235145828
59	1.234102109
60	1.233113106
61	1.231947414
62	1.230294613
63	1.22876324
64	1.226764392
65	1.225867224
66	1.224863039
67	1.223965266
68	1.223009489
69	1.22195808
70	1.22107086
71	1.219749663
72	1.218326561
73	1.216806807
74	1.215963521
75	1.215003008
76	1.213907188
77	1.212934437
78	1.211925941
79	1.210821276
80	1.210035227
81	1.20870337
82	1.208056735
83	1.206878331
84	1.205871182
85	1.205163066
86	1.204406157
87	1.203664008
88	1.20273234
89	1.201752265
90	1.200617677
91	1.199394749
92	1.198627821
93	1.197735449
94	1.197011649
95	1.196465358
96	1.196093626
97	1.195166808
98	1.19418069
99	1.193210235
100	1.19242961
101	1.191406883
102	1.19082738
103	1.189842658
104	1.189128726
105	1.188535293
106	1.187447888
107	1.186470956
108	1.185955265
109	1.185212946
110	1.184378011
111	1.183596108
112	1.183089707
113	1.182422753
114	1.182039307
115	1.181095516
116	1.180453344
117	1.179739801
118	1.179149405
119	1.178488236
120	1.177966905
121	1.177459759
122	1.177031474
123	1.176469133
124	1.17590552
125	1.175131422
126	1.174669584
127	1.174049184
128	1.173347376
129	1.17287521
130	1.172259082
131	1.171608041
132	1.17106413
133	1.170529944
134	1.169766842
135	1.169269822
136	1.168866628
137	1.168490514
138	1.167941884
139	1.167665837
140	1.167230551
141	1.166690505
142	1.165798591
143	1.165228367
144	1.164683314
145	1.164001211
146	1.163315667
147	1.162540827
148	1.161811741
149	1.161002724
150	1.160291559
151	1.15958198
152	1.159198325
153	1.158668144
154	1.158031087
155	1.15746035
156	1.156965208
157	1.156083716
158	1.155507378
159	1.154860387
160	1.154197223
161	1.153820495
162	1.153509808
163	1.15322031
164	1.152663727
165	1.151853698
166	1.151484676
167	1.150940015
168	1.150608343
169	1.150184983
170	1.149372788
171	1.148624089
172	1.147909662
173	1.147372041
174	1.146703242
175	1.146261026
176	1.145560423
177	1.144894819
178	1.144522139
179	1.14391377
180	1.14359456
181	1.142863243
182	1.142196967
183	1.141714549
184	1.141066023
185	1.140197511
186	1.13972729
187	1.139467938
188	1.138929961
189	1.138161699
190	1.137729282
191	1.13729889
192	1.13681338
193	1.136104374
194	1.135822005
195	1.13509919
196	1.134638877
197	1.134333474
198	1.133532473
199	1.132896565
200	1.132533233
201	1.132102187
202	1.131435886
203	1.131061809
204	1.130381467
205	1.129966084
206	1.129267244
207	1.128822382
208	1.128447927
209	1.127777323
210	1.127390258
211	1.126724208
212	1.12622273
213	1.125692273
214	1.125025604
215	1.124462351
216	1.123866418
217	1.123590357
218	1.122931375
219	1.122557736
220	1.122044038
221	1.121774254
222	1.121403535
223	1.120786205
224	1.120253242
225	1.119627269
226	1.118890503
227	1.118440842
228	1.117797818
229	1.11716721
230	1.11674691
231	1.116268948
232	1.115778179
233	1.115463373
234	1.115072474
235	1.11470629
236	1.114228525
237	1.113971948
238	1.113479562
239	1.112836083
240	1.112335026
241	1.111842067
242	1.111297479
243	1.11062967
244	1.110134308
245	1.109500208
246	1.109024607
247	1.108297869
248	1.107515124
249	1.106795064
250	1.106098856
251	1.105544974
252	1.10507578
253	1.104787977
254	1.104358894
255	1.103680543
256	1.102943345
257	1.102484164
258	1.101895411
259	1.101550942
260	1.100855026
261	1.100232916
262	1.099720729
263	1.099035768
264	1.098726199
265	1.098102034
266	1.097459928
267	1.09675839
268	1.096215574
269	1.095901857
270	1.095389789
271	1.09487414
272	1.094182006
273	1.093702599
274	1.093293596
275	1.092654171
276	1.092233115
277	1.091777805
278	1.091212003
279	1.090512267
280	1.08992459
281	1.089561145
282	1.089187243
283	1.0885402
284	1.088062185
285	1.087625564
286	1.087285094
287	1.087007162
288	1.086564284
289	1.086311067
290	1.08580177
291	1.085088218
292	1.084710269
293	1.084305303
294	1.083852907
295	1.083235285
296	1.082879395
297	1.082412717
298	1.082080005
299	1.08159191
300	1.081069156
301	1.080754183
302	1.080236392
303	1.079789109
304	1.079248685
305	1.07889772
306	1.078545161
307	1.078153333
308	1.077561282
309	1.077087435
310	1.076651472
311	1.076144207
312	1.07565088
313	1.075228769
314	1.074702923
315	1.074388339
316	1.073714654
317	1.073188512
318	1.072864778
319	1.072398906
320	1.0717681
321	1.071320629
322	1.070841716
323	1.070281291
324	1.069824358
325	1.069646605
326	1.06938434
327	1.068916179
328	1.068548188
329	1.068194099
330	1.067937309
331	1.067620894
332	1.067137817
333	1.066527553
334	1.066035371
335	1.065550451
336	1.065164484
337	1.064752435
338	1.064243219
339	1.063981565
340	1.063698994
341	1.063263458
342	1.062755788
343	1.062277525
344	1.061972115
345	1.061615799
346	1.0612263
347	1.060977851
348	1.060581085
349	1.060229102
350	1.059847355
351	1.059554491
352	1.059083136
353	1.058523934
354	1.058318085
355	1.057769973
356	1.057378127
357	1.056994867
358	1.056530903
359	1.05630039
360	1.056064977
361	1.055804077
362	1.0555217
363	1.055158023
364	1.054753442
365	1.054453253
366	1.053902133
367	1.053664969
368	1.053443856
369	1.053238448
370	1.052911104
371	1.052594529
372	1.052192733
373	1.051845876
374	1.051440153
375	1.050920383
376	1.05066886
377	1.050291692
378	1.049707768
379	1.049391369
380	1.049053801
381	1.048630338
382	1.048268544
383	1.047924256
384	1.047529452
385	1.046993199
386	1.046590128
387	1.045993922
388	1.045548472
389	1.04517557
390	1.044964965
391	1.044505798
392	1.044279023
393	1.043827425
394	1.043615721
395	1.043285482
396	1.042830054
397	1.042383873
398	1.041879684
399	1.04159852
400	1.041266705
401	1.04078604
