iter	Passed	Remaining
0	163	163380
1	187	93770
2	218	72633
3	237	59031
4	254	50664
5	268	44477
6	283	40149
7	298	37055
8	316	34905
9	334	33145
10	349	31461
11	365	30076
12	375	28529
13	391	27564
14	408	26809
15	425	26164
16	447	25903
17	463	25305
18	478	24699
19	496	24328
20	510	23787
21	521	23171
22	532	22633
23	544	22161
24	562	21928
25	580	21743
26	592	21362
27	611	21241
28	631	21139
29	659	21326
30	692	21643
31	726	21971
32	744	21824
33	763	21693
34	780	21508
35	797	21344
36	811	21125
37	825	20899
38	843	20773
39	858	20603
40	874	20454
41	888	20271
42	905	20163
43	922	20033
44	936	19878
45	945	19602
46	964	19560
47	975	19347
48	986	19147
49	1000	19013
50	1015	18891
51	1033	18832
52	1052	18804
53	1073	18798
54	1088	18707
55	1107	18677
56	1130	18702
57	1149	18665
58	1169	18658
59	1195	18733
60	1215	18717
61	1236	18712
62	1253	18647
63	1281	18746
64	1299	18691
65	1317	18648
66	1330	18523
67	1343	18407
68	1360	18361
69	1376	18291
70	1385	18134
71	1398	18026
72	1413	17946
73	1429	17882
74	1449	17880
75	1462	17781
76	1473	17658
77	1484	17544
78	1498	17467
79	1511	17377
80	1525	17306
81	1550	17353
82	1565	17290
83	1581	17245
84	1598	17212
85	1617	17186
86	1638	17196
87	1655	17155
88	1673	17127
89	1698	17173
90	1710	17083
91	1724	17024
92	1736	16936
93	1749	16863
94	1764	16806
95	1776	16732
96	1788	16649
97	1801	16577
98	1815	16525
99	1833	16498
100	1845	16429
101	1862	16396
102	1871	16295
103	1887	16259
104	1901	16208
105	1912	16130
106	1927	16084
107	1946	16073
108	1968	16088
109	1978	16011
110	1996	15989
111	2011	15949
112	2028	15923
113	2053	15962
114	2085	16047
115	2106	16049
116	2127	16056
117	2152	16087
118	2175	16109
119	2196	16109
120	2208	16045
121	2228	16038
122	2245	16009
123	2255	15936
124	2270	15895
125	2283	15837
126	2298	15796
127	2309	15734
128	2324	15696
129	2341	15666
130	2359	15652
131	2376	15626
132	2392	15598
133	2405	15547
134	2424	15537
135	2436	15481
136	2446	15412
137	2456	15345
138	2477	15344
139	2495	15330
140	2507	15275
141	2527	15270
142	2559	15338
143	2586	15373
144	2603	15353
145	2620	15327
146	2636	15299
147	2645	15231
148	2668	15238
149	2687	15229
150	2695	15153
151	2707	15104
152	2725	15086
153	2740	15054
154	2763	15068
155	2774	15009
156	2789	14975
157	2803	14939
158	2816	14896
159	2827	14843
160	2841	14805
161	2850	14745
162	2863	14705
163	2872	14642
164	2886	14606
165	2897	14559
166	2908	14509
167	2918	14454
168	2931	14416
169	2941	14361
170	2951	14308
171	2972	14308
172	2984	14267
173	2997	14227
174	3004	14163
175	3018	14130
176	3030	14091
177	3040	14042
178	3049	13987
179	3061	13947
180	3071	13897
181	3085	13866
182	3094	13816
183	3107	13782
184	3120	13745
185	3128	13690
186	3139	13651
187	3148	13600
188	3158	13553
189	3171	13521
190	3178	13464
191	3192	13434
192	3205	13403
193	3218	13372
194	3226	13320
195	3236	13275
196	3244	13225
197	3255	13187
198	3269	13159
199	3284	13137
200	3293	13091
201	3303	13051
202	3317	13023
203	3333	13005
204	3353	13005
205	3364	12967
206	3382	12959
207	3389	12907
208	3401	12873
209	3408	12821
210	3417	12780
211	3428	12745
212	3435	12693
213	3445	12653
214	3453	12608
215	3462	12568
216	3469	12519
217	3476	12469
218	3484	12424
219	3489	12372
220	3499	12336
221	3509	12299
222	3518	12258
223	3527	12219
224	3533	12170
225	3539	12120
226	3546	12075
227	3552	12028
228	3561	11991
229	3568	11946
230	3579	11915
231	3586	11873
232	3593	11828
233	3601	11790
234	3609	11750
235	3616	11708
236	3624	11669
237	3631	11625
238	3640	11592
239	3647	11549
240	3657	11517
241	3667	11486
242	3673	11445
243	3680	11403
244	3687	11363
245	3694	11322
246	3703	11289
247	3710	11251
248	3717	11213
249	3726	11179
250	3735	11148
251	3743	11112
252	3752	11078
253	3758	11038
254	3767	11005
255	3775	10971
256	3784	10940
257	3818	10982
258	3836	10977
259	3851	10961
260	3879	10985
261	3905	11000
262	3928	11007
263	3946	11002
264	3954	10968
265	3962	10934
266	3971	10904
267	3980	10870
268	3990	10843
269	4003	10824
270	4012	10794
271	4023	10767
272	4036	10748
273	4045	10720
274	4056	10695
275	4068	10672
276	4081	10652
277	4089	10622
278	4098	10592
279	4107	10563
280	4113	10524
281	4119	10489
282	4126	10453
283	4132	10418
284	4139	10386
285	4146	10351
286	4154	10320
287	4160	10285
288	4166	10251
289	4173	10218
290	4181	10186
291	4186	10151
292	4193	10119
293	4200	10086
294	4206	10053
295	4214	10024
296	4220	9990
297	4227	9959
298	4236	9932
299	4245	9906
300	4251	9872
301	4256	9838
302	4264	9809
303	4272	9780
304	4279	9750
305	4285	9718
306	4290	9685
307	4297	9655
308	4305	9628
309	4313	9600
310	4320	9571
311	4328	9544
312	4334	9514
313	4343	9488
314	4348	9456
315	4356	9430
316	4363	9401
317	4369	9370
318	4375	9341
319	4382	9312
320	4389	9284
321	4396	9256
322	4404	9232
323	4412	9206
324	4418	9176
325	4424	9146
326	4430	9118
327	4437	9091
328	4444	9063
329	4450	9035
330	4459	9013
331	4464	8981
332	4475	8965
333	4482	8939
334	4493	8919
335	4498	8890
336	4510	8873
337	4518	8850
338	4528	8829
339	4536	8806
340	4543	8781
341	4553	8760
342	4563	8740
343	4574	8723
344	4585	8706
345	4592	8679
346	4597	8652
347	4609	8635
348	4618	8614
349	4625	8589
350	4633	8567
351	4640	8543
352	4646	8516
353	4654	8494
354	4659	8466
355	4670	8449
356	4677	8423
357	4687	8405
358	4693	8380
359	4704	8364
360	4711	8339
361	4719	8317
362	4769	8369
363	4784	8360
364	4807	8363
365	4820	8350
366	4850	8366
367	4860	8346
368	4870	8329
369	4887	8322
370	4900	8309
371	4906	8282
372	4919	8268
373	4928	8248
374	4935	8226
375	4951	8217
376	4966	8206
377	4972	8182
378	4986	8171
379	4999	8157
380	5013	8145
381	5019	8121
382	5032	8107
383	5042	8089
384	5050	8068
385	5062	8052
386	5068	8027
387	5081	8014
388	5086	7989
389	5098	7974
390	5103	7949
391	5117	7937
392	5129	7922
393	5143	7910
394	5153	7893
395	5160	7870
396	5171	7855
397	5181	7837
398	5203	7837
399	5268	7902
400	5302	7921
401	5327	7925
402	5362	7943
403	5398	7963
404	5415	7956
405	5437	7955
406	5471	7972
407	5486	7961
408	5499	7946
409	5511	7931
410	5519	7909
411	5530	7892
412	5536	7868
413	5547	7852
414	5557	7834
415	5567	7815
416	5578	7799
417	5590	7783
418	5606	7774
419	5619	7759
420	5630	7743
421	5646	7733
422	5656	7716
423	5667	7699
424	5681	7686
425	5693	7670
426	5705	7656
427	5724	7650
428	5772	7683
429	5794	7680
430	5823	7687
431	5831	7667
432	5841	7649
433	5859	7641
434	5873	7629
435	5888	7616
436	5902	7603
437	5911	7585
438	5922	7568
439	5940	7560
440	5957	7551
441	5973	7540
442	5990	7531
443	6006	7521
444	6022	7511
445	6049	7513
446	6066	7504
447	6076	7487
448	6089	7472
449	6101	7457
450	6120	7450
451	6133	7435
452	6146	7421
453	6159	7407
454	6168	7388
455	6185	7378
456	6198	7365
457	6215	7355
458	6237	7352
459	6256	7345
460	6266	7326
461	6280	7314
462	6296	7303
463	6309	7288
464	6328	7281
465	6339	7265
466	6350	7247
